Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
ERR10812871_1	(151, 335642.0)																																											
ERR10812871_2	(151, 335642.0)																																											
ERR10812872_1	(151, 515945.0)																																											
ERR10812872_2	(151, 515945.0)																																											
ERR10812873_1	(151, 321850.0)																																											
ERR10812873_2	(151, 321850.0)																																											
ERR10820997_1	(151, 284265.0)																																											
ERR10820997_2	(151, 284265.0)																																											
ERR10852925_1	(151, 359060.0)																																											
ERR10852925_2	(151, 359060.0)																																											
ERR10852926_1	(151, 326929.0)																																											
ERR10852926_2	(151, 326929.0)																																											
ERR10852929_1	(151, 851537.0)																																											
ERR10852929_2	(151, 851537.0)																																											
ERR10852931_1	(151, 577319.0)																																											
ERR10852931_2	(151, 577319.0)																																											
ERR10852932_1	(151, 227567.0)																																											
ERR10852932_2	(151, 227567.0)																																											
ERR10852933_1	(151, 459339.0)																																											
ERR10852933_2	(151, 459339.0)																																											
ERR10852935_1	(151, 1065036.0)																																											
ERR10852935_2	(151, 1065036.0)																																											
ERR10852936_1	(151, 552165.0)																																											
ERR10852936_2	(151, 552165.0)																																											
ERR10852938_1	(151, 314117.0)																																											
ERR10852938_2	(151, 314117.0)																																											
ERR10852993_1	(151, 576219.0)																																											
ERR10852993_2	(151, 576219.0)																																											
ERR10852995_1	(151, 1298971.0)																																											
ERR10852995_2	(151, 1298971.0)																																											
ERR10852996_1	(151, 545115.0)																																											
ERR10852996_2	(151, 545115.0)																																											
ERR10853648_1	(151, 243443.0)																																											
ERR10853648_2	(151, 243443.0)																																											
ERR10854234_1	(151, 369305.0)																																											
ERR10854234_2	(151, 369305.0)																																											
ERR10854472_1	(151, 223035.0)																																											
ERR10854472_2	(151, 223035.0)																																											
ERR10854473_1	(151, 260614.0)																																											
ERR10854473_2	(151, 260614.0)																																											
ERR10854474_1	(151, 381074.0)																																											
ERR10854474_2	(151, 381074.0)																																											
ERR10854475_1	(151, 266625.0)																																											
ERR10854475_2	(151, 266625.0)																																											
ERR10854476_1	(151, 369640.0)																																											
ERR10854476_2	(151, 369640.0)																																											
ERR10854480_1	(151, 446416.0)																																											
ERR10854480_2	(151, 446416.0)																																											
ERR10854483_1	(151, 617717.0)																																											
ERR10854483_2	(151, 617717.0)																																											
ERR10854484_1	(151, 293072.0)																																											
ERR10854484_2	(151, 293072.0)																																											
ERR3569448_1	(30, 348.0)	(35, 223.0)	(40, 571.0)	(45, 351.0)	(50, 615.0)	(55, 436.0)	(60, 650.0)	(65, 526.0)	(70, 726.0)	(75, 644.0)	(80, 804.0)	(85, 778.0)	(90, 867.0)	(95, 956.0)	(100, 912.0)	(105, 1122.0)	(110, 994.0)	(115, 1282.0)	(120, 1072.0)	(125, 1444.0)	(130, 1180.0)	(135, 1611.0)	(140, 1434.0)	(145, 33893.0)	(150, 407453.0)																			
ERR3569448_2	(30, 347.0)	(35, 227.0)	(40, 576.0)	(45, 355.0)	(50, 615.0)	(55, 444.0)	(60, 647.0)	(65, 527.0)	(70, 719.0)	(75, 646.0)	(80, 804.0)	(85, 783.0)	(90, 871.0)	(95, 952.0)	(100, 909.0)	(105, 1129.0)	(110, 994.0)	(115, 1271.0)	(120, 1080.0)	(125, 1443.0)	(130, 1187.0)	(135, 1613.0)	(140, 1424.0)	(145, 33408.0)	(150, 407921.0)																			
ERR3569449_1	(30, 327.0)	(35, 212.0)	(40, 508.0)	(45, 327.0)	(50, 575.0)	(55, 388.0)	(60, 645.0)	(65, 476.0)	(70, 643.0)	(75, 598.0)	(80, 660.0)	(85, 663.0)	(90, 662.0)	(95, 773.0)	(100, 675.0)	(105, 874.0)	(110, 685.0)	(115, 923.0)	(120, 724.0)	(125, 998.0)	(130, 789.0)	(135, 1067.0)	(140, 927.0)	(145, 40849.0)	(150, 514803.0)																			
ERR3569449_2	(30, 330.0)	(35, 214.0)	(40, 512.0)	(45, 328.0)	(50, 583.0)	(55, 391.0)	(60, 651.0)	(65, 480.0)	(70, 648.0)	(75, 610.0)	(80, 666.0)	(85, 670.0)	(90, 670.0)	(95, 784.0)	(100, 677.0)	(105, 885.0)	(110, 694.0)	(115, 928.0)	(120, 737.0)	(125, 1015.0)	(130, 796.0)	(135, 1080.0)	(140, 938.0)	(145, 40837.0)	(150, 514647.0)																			
ERR3569450_1	(30, 460.0)	(35, 269.0)	(40, 667.0)	(45, 408.0)	(50, 754.0)	(55, 531.0)	(60, 715.0)	(65, 637.0)	(70, 768.0)	(75, 716.0)	(80, 817.0)	(85, 837.0)	(90, 849.0)	(95, 935.0)	(100, 864.0)	(105, 1142.0)	(110, 876.0)	(115, 1308.0)	(120, 1031.0)	(125, 1353.0)	(130, 1075.0)	(135, 1541.0)	(140, 1253.0)	(145, 46203.0)	(150, 576869.0)																			
ERR3569450_2	(30, 464.0)	(35, 269.0)	(40, 663.0)	(45, 413.0)	(50, 758.0)	(55, 532.0)	(60, 720.0)	(65, 646.0)	(70, 769.0)	(75, 724.0)	(80, 825.0)	(85, 844.0)	(90, 854.0)	(95, 937.0)	(100, 867.0)	(105, 1141.0)	(110, 883.0)	(115, 1318.0)	(120, 1032.0)	(125, 1358.0)	(130, 1077.0)	(135, 1551.0)	(140, 1243.0)	(145, 45853.0)	(150, 577137.0)																			
ERR3569451_1	(30, 594.0)	(35, 353.0)	(40, 884.0)	(45, 529.0)	(50, 858.0)	(55, 601.0)	(60, 964.0)	(65, 718.0)	(70, 1049.0)	(75, 903.0)	(80, 1065.0)	(85, 1011.0)	(90, 1028.0)	(95, 1192.0)	(100, 1083.0)	(105, 1339.0)	(110, 1161.0)	(115, 1463.0)	(120, 1188.0)	(125, 1616.0)	(130, 1241.0)	(135, 1816.0)	(140, 1476.0)	(145, 56052.0)	(150, 702596.0)																			
ERR3569451_2	(30, 597.0)	(35, 357.0)	(40, 893.0)	(45, 535.0)	(50, 858.0)	(55, 604.0)	(60, 968.0)	(65, 720.0)	(70, 1053.0)	(75, 907.0)	(80, 1081.0)	(85, 1017.0)	(90, 1036.0)	(95, 1200.0)	(100, 1092.0)	(105, 1340.0)	(110, 1169.0)	(115, 1470.0)	(120, 1187.0)	(125, 1628.0)	(130, 1251.0)	(135, 1832.0)	(140, 1473.0)	(145, 56197.0)	(150, 702315.0)																			
ERR4436595_1	(35, 1010.0)	(40, 1009.0)	(45, 1232.0)	(50, 1303.0)	(55, 1352.0)	(60, 1434.0)	(65, 1604.0)	(70, 1504.0)	(75, 1558.0)	(80, 1729.0)	(85, 1742.0)	(90, 1750.0)	(95, 1791.0)	(100, 1906.0)	(105, 1918.0)	(110, 1934.0)	(115, 2041.0)	(120, 1994.0)	(125, 2106.0)	(130, 2112.0)	(135, 1992.0)	(140, 2117.0)	(145, 2121.0)	(150, 2220.0)	(155, 2172.0)	(160, 2254.0)	(165, 2271.0)	(170, 2277.0)	(175, 2433.0)	(180, 2425.0)	(185, 2389.0)	(190, 2487.0)	(195, 2559.0)	(200, 2522.0)	(205, 2595.0)	(210, 2653.0)	(215, 2757.0)	(220, 2831.0)	(225, 2872.0)	(230, 2810.0)	(235, 2918.0)	(240, 2901.0)	(245, 55853.0)	(250, 663427.0)
ERR4436595_2	(35, 1011.0)	(40, 1006.0)	(45, 1233.0)	(50, 1307.0)	(55, 1346.0)	(60, 1439.0)	(65, 1601.0)	(70, 1507.0)	(75, 1553.0)	(80, 1731.0)	(85, 1737.0)	(90, 1749.0)	(95, 1787.0)	(100, 1899.0)	(105, 1915.0)	(110, 1933.0)	(115, 2034.0)	(120, 1984.0)	(125, 2097.0)	(130, 2101.0)	(135, 1997.0)	(140, 2114.0)	(145, 2121.0)	(150, 2199.0)	(155, 2157.0)	(160, 2239.0)	(165, 2247.0)	(170, 2253.0)	(175, 2413.0)	(180, 2398.0)	(185, 2369.0)	(190, 2452.0)	(195, 2501.0)	(200, 2493.0)	(205, 2558.0)	(210, 2614.0)	(215, 2709.0)	(220, 2762.0)	(225, 2809.0)	(230, 2721.0)	(235, 2855.0)	(240, 2808.0)	(245, 53510.0)	(250, 666616.0)
