Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
ERR10710707_1	(15.0, 2.0)	(16.0, 5.0)	(17.0, 6.0)	(18.0, 12.0)	(19.0, 20.0)	(20.0, 38.0)	(21.0, 121.0)	(22.0, 242.0)	(23.0, 405.0)	(24.0, 774.0)	(25.0, 1490.0)	(26.0, 2727.0)	(27.0, 4935.0)	(28.0, 7980.0)	(29.0, 12054.0)	(30.0, 17156.0)	(31.0, 24758.0)	(32.0, 36130.0)	(33.0, 57739.0)	(34.0, 105613.0)	(35.0, 261530.0)	(36.0, 536752.0)	(37.0, 1760.0)														
ERR10710707_2	(12.0, 2.0)	(13.0, 21.0)	(14.0, 27.0)	(15.0, 40.0)	(16.0, 74.0)	(17.0, 112.0)	(18.0, 306.0)	(19.0, 818.0)	(20.0, 1645.0)	(21.0, 2748.0)	(22.0, 3960.0)	(23.0, 5539.0)	(24.0, 7370.0)	(25.0, 9785.0)	(26.0, 12446.0)	(27.0, 15726.0)	(28.0, 19497.0)	(29.0, 25626.0)	(30.0, 32455.0)	(31.0, 43674.0)	(32.0, 58836.0)	(33.0, 84449.0)	(34.0, 128479.0)	(35.0, 236909.0)	(36.0, 379733.0)	(37.0, 1972.0)											
ERR10710709_1	(14.0, 2.0)	(15.0, 3.0)	(16.0, 3.0)	(17.0, 9.0)	(18.0, 4.0)	(19.0, 11.0)	(20.0, 22.0)	(21.0, 59.0)	(22.0, 127.0)	(23.0, 329.0)	(24.0, 679.0)	(25.0, 1607.0)	(26.0, 2968.0)	(27.0, 5319.0)	(28.0, 8281.0)	(29.0, 12259.0)	(30.0, 16964.0)	(31.0, 23003.0)	(32.0, 31626.0)	(33.0, 46725.0)	(34.0, 76842.0)	(35.0, 158647.0)	(36.0, 258481.0)	(37.0, 671.0)													
ERR10710709_2	(12.0, 1.0)	(13.0, 13.0)	(14.0, 16.0)	(15.0, 41.0)	(16.0, 40.0)	(17.0, 86.0)	(18.0, 227.0)	(19.0, 637.0)	(20.0, 1331.0)	(21.0, 2253.0)	(22.0, 3391.0)	(23.0, 4609.0)	(24.0, 6248.0)	(25.0, 8243.0)	(26.0, 10485.0)	(27.0, 13436.0)	(28.0, 16753.0)	(29.0, 21411.0)	(30.0, 26765.0)	(31.0, 34460.0)	(32.0, 44471.0)	(33.0, 59549.0)	(34.0, 83927.0)	(35.0, 137348.0)	(36.0, 168323.0)	(37.0, 577.0)											
ERR10782663_1	(2.0, 5.0)	(3.0, 0.0)	(4.0, 1.0)	(5.0, 0.0)	(6.0, 1.0)	(7.0, 1.0)	(8.0, 1.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 2.0)	(13.0, 6.0)	(14.0, 86.0)	(15.0, 1141.0)	(16.0, 1777.0)	(17.0, 1283.0)	(18.0, 1083.0)	(19.0, 829.0)	(20.0, 646.0)	(21.0, 649.0)	(22.0, 1027.0)	(23.0, 1589.0)	(24.0, 2180.0)	(25.0, 3096.0)	(26.0, 4022.0)	(27.0, 5578.0)	(28.0, 8082.0)	(29.0, 10340.0)	(30.0, 11391.0)	(31.0, 11539.0)	(32.0, 11612.0)	(33.0, 11890.0)	(34.0, 13138.0)	(35.0, 15962.0)	(36.0, 23319.0)	(37.0, 57341.0)	(38.0, 84681.0)
ERR10782663_2	(15.0, 1.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 5.0)	(20.0, 19.0)	(21.0, 21.0)	(22.0, 86.0)	(23.0, 222.0)	(24.0, 479.0)	(25.0, 838.0)	(26.0, 2063.0)	(27.0, 4138.0)	(28.0, 3005.0)	(29.0, 3081.0)	(30.0, 3639.0)	(31.0, 4616.0)	(32.0, 7147.0)	(33.0, 10547.0)	(34.0, 13161.0)	(35.0, 15145.0)	(36.0, 19340.0)	(37.0, 41261.0)	(38.0, 155483.0)													
ERR10782668_1	(2.0, 9.0)	(3.0, 1.0)	(4.0, 2.0)	(5.0, 3.0)	(6.0, 0.0)	(7.0, 2.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 2.0)	(13.0, 9.0)	(14.0, 40.0)	(15.0, 742.0)	(16.0, 2834.0)	(17.0, 2273.0)	(18.0, 974.0)	(19.0, 668.0)	(20.0, 567.0)	(21.0, 711.0)	(22.0, 1085.0)	(23.0, 1753.0)	(24.0, 2575.0)	(25.0, 3486.0)	(26.0, 4834.0)	(27.0, 6207.0)	(28.0, 8506.0)	(29.0, 11175.0)	(30.0, 13464.0)	(31.0, 14649.0)	(32.0, 14988.0)	(33.0, 15676.0)	(34.0, 17655.0)	(35.0, 21100.0)	(36.0, 26521.0)	(37.0, 60203.0)	(38.0, 121310.0)
ERR10782668_2	(16.0, 1.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 3.0)	(20.0, 14.0)	(21.0, 29.0)	(22.0, 53.0)	(23.0, 168.0)	(24.0, 418.0)	(25.0, 760.0)	(26.0, 1795.0)	(27.0, 4505.0)	(28.0, 4101.0)	(29.0, 3914.0)	(30.0, 4877.0)	(31.0, 7524.0)	(32.0, 12024.0)	(33.0, 16022.0)	(34.0, 17258.0)	(35.0, 18309.0)	(36.0, 22401.0)	(37.0, 43636.0)	(38.0, 196210.0)														
ERR10782671_1	(2.0, 5.0)	(3.0, 4.0)	(4.0, 2.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 2.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 2.0)	(12.0, 5.0)	(13.0, 7.0)	(14.0, 40.0)	(15.0, 1078.0)	(16.0, 4901.0)	(17.0, 4593.0)	(18.0, 1906.0)	(19.0, 1196.0)	(20.0, 803.0)	(21.0, 785.0)	(22.0, 1071.0)	(23.0, 1567.0)	(24.0, 2337.0)	(25.0, 2999.0)	(26.0, 3954.0)	(27.0, 4987.0)	(28.0, 6548.0)	(29.0, 8484.0)	(30.0, 10699.0)	(31.0, 12986.0)	(32.0, 13733.0)	(33.0, 14418.0)	(34.0, 15504.0)	(35.0, 18092.0)	(36.0, 25455.0)	(37.0, 56721.0)	(38.0, 91530.0)
ERR10782671_2	(17.0, 1.0)	(18.0, 7.0)	(19.0, 6.0)	(20.0, 14.0)	(21.0, 36.0)	(22.0, 87.0)	(23.0, 246.0)	(24.0, 565.0)	(25.0, 1048.0)	(26.0, 2664.0)	(27.0, 7206.0)	(28.0, 5679.0)	(29.0, 4284.0)	(30.0, 4874.0)	(31.0, 7104.0)	(32.0, 11721.0)	(33.0, 14757.0)	(34.0, 15659.0)	(35.0, 16332.0)	(36.0, 19238.0)	(37.0, 37175.0)	(38.0, 157713.0)															
ERR10782676_1	(16.0, 1.0)	(17.0, 2.0)	(18.0, 5.0)	(19.0, 3.0)	(20.0, 15.0)	(21.0, 25.0)	(22.0, 79.0)	(23.0, 218.0)	(24.0, 530.0)	(25.0, 997.0)	(26.0, 2375.0)	(27.0, 6071.0)	(28.0, 4876.0)	(29.0, 4248.0)	(30.0, 4948.0)	(31.0, 8062.0)	(32.0, 13078.0)	(33.0, 16432.0)	(34.0, 16815.0)	(35.0, 16696.0)	(36.0, 19855.0)	(37.0, 35566.0)	(38.0, 148413.0)														
ERR10782676_2	(2.0, 6.0)	(3.0, 3.0)	(4.0, 3.0)	(5.0, 0.0)	(6.0, 2.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 1.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 4.0)	(14.0, 43.0)	(15.0, 1026.0)	(16.0, 4184.0)	(17.0, 3319.0)	(18.0, 1331.0)	(19.0, 951.0)	(20.0, 654.0)	(21.0, 739.0)	(22.0, 1038.0)	(23.0, 1592.0)	(24.0, 2383.0)	(25.0, 3334.0)	(26.0, 4562.0)	(27.0, 6209.0)	(28.0, 8876.0)	(29.0, 12019.0)	(30.0, 13659.0)	(31.0, 13849.0)	(32.0, 13667.0)	(33.0, 13803.0)	(34.0, 15789.0)	(35.0, 16939.0)	(36.0, 19852.0)	(37.0, 44265.0)	(38.0, 95205.0)
ERR10782680_1	(18.0, 5.0)	(19.0, 8.0)	(20.0, 48.0)	(21.0, 229.0)	(22.0, 725.0)	(23.0, 1569.0)	(24.0, 2708.0)	(25.0, 4584.0)	(26.0, 10201.0)	(27.0, 13286.0)	(28.0, 7688.0)	(29.0, 6565.0)	(30.0, 7567.0)	(31.0, 9518.0)	(32.0, 12360.0)	(33.0, 15971.0)	(34.0, 21384.0)	(35.0, 29587.0)	(36.0, 45795.0)	(37.0, 105480.0)	(38.0, 243363.0)																
ERR10782680_2	(13.0, 1.0)	(14.0, 74.0)	(15.0, 3531.0)	(16.0, 13601.0)	(17.0, 8128.0)	(18.0, 3590.0)	(19.0, 1950.0)	(20.0, 1324.0)	(21.0, 1439.0)	(22.0, 1848.0)	(23.0, 2428.0)	(24.0, 2965.0)	(25.0, 3801.0)	(26.0, 4422.0)	(27.0, 5504.0)	(28.0, 6506.0)	(29.0, 7975.0)	(30.0, 9600.0)	(31.0, 11722.0)	(32.0, 14133.0)	(33.0, 17524.0)	(34.0, 23016.0)	(35.0, 32602.0)	(36.0, 52140.0)	(37.0, 127201.0)	(38.0, 181616.0)											
ERR10782688_1	(13.0, 3.0)	(14.0, 43.0)	(15.0, 2358.0)	(16.0, 8598.0)	(17.0, 5537.0)	(18.0, 2384.0)	(19.0, 1810.0)	(20.0, 1449.0)	(21.0, 1510.0)	(22.0, 1994.0)	(23.0, 2746.0)	(24.0, 3635.0)	(25.0, 4964.0)	(26.0, 6319.0)	(27.0, 8150.0)	(28.0, 10193.0)	(29.0, 12687.0)	(30.0, 15715.0)	(31.0, 19110.0)	(32.0, 23524.0)	(33.0, 29254.0)	(34.0, 38991.0)	(35.0, 56078.0)	(36.0, 94067.0)	(37.0, 234532.0)	(38.0, 214066.0)											
ERR10782688_2	(16.0, 1.0)	(17.0, 2.0)	(18.0, 6.0)	(19.0, 14.0)	(20.0, 33.0)	(21.0, 70.0)	(22.0, 221.0)	(23.0, 523.0)	(24.0, 1119.0)	(25.0, 2028.0)	(26.0, 3904.0)	(27.0, 9034.0)	(28.0, 9419.0)	(29.0, 7499.0)	(30.0, 8038.0)	(31.0, 10088.0)	(32.0, 13818.0)	(33.0, 18839.0)	(34.0, 25916.0)	(35.0, 38381.0)	(36.0, 61978.0)	(37.0, 151646.0)	(38.0, 437140.0)														
ERR10782695_1	(14.0, 10.0)	(15.0, 1082.0)	(16.0, 7717.0)	(17.0, 9686.0)	(18.0, 4446.0)	(19.0, 2847.0)	(20.0, 2106.0)	(21.0, 2522.0)	(22.0, 3836.0)	(23.0, 6154.0)	(24.0, 9190.0)	(25.0, 12946.0)	(26.0, 17567.0)	(27.0, 23671.0)	(28.0, 31116.0)	(29.0, 40085.0)	(30.0, 53237.0)	(31.0, 68450.0)	(32.0, 77899.0)	(33.0, 79303.0)	(34.0, 77073.0)	(35.0, 81893.0)	(36.0, 95222.0)	(37.0, 164645.0)	(38.0, 235078.0)												
ERR10782695_2	(16.0, 1.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 6.0)	(20.0, 12.0)	(21.0, 89.0)	(22.0, 270.0)	(23.0, 740.0)	(24.0, 1905.0)	(25.0, 3409.0)	(26.0, 6503.0)	(27.0, 16185.0)	(28.0, 19531.0)	(29.0, 18224.0)	(30.0, 21830.0)	(31.0, 28095.0)	(32.0, 45597.0)	(33.0, 72137.0)	(34.0, 87503.0)	(35.0, 86882.0)	(36.0, 90059.0)	(37.0, 141572.0)	(38.0, 467229.0)														
ERR10782717_1	(16.0, 1.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 8.0)	(20.0, 21.0)	(21.0, 45.0)	(22.0, 102.0)	(23.0, 174.0)	(24.0, 460.0)	(25.0, 779.0)	(26.0, 1357.0)	(27.0, 2071.0)	(28.0, 3061.0)	(29.0, 4232.0)	(30.0, 5563.0)	(31.0, 7182.0)	(32.0, 9298.0)	(33.0, 11961.0)	(34.0, 15691.0)	(35.0, 21685.0)	(36.0, 33530.0)	(37.0, 78287.0)	(38.0, 177864.0)														
ERR10782717_2	(14.0, 2.0)	(15.0, 37.0)	(16.0, 118.0)	(17.0, 159.0)	(18.0, 254.0)	(19.0, 474.0)	(20.0, 975.0)	(21.0, 1693.0)	(22.0, 2516.0)	(23.0, 3373.0)	(24.0, 4177.0)	(25.0, 4859.0)	(26.0, 5829.0)	(27.0, 6711.0)	(28.0, 7790.0)	(29.0, 8868.0)	(30.0, 10264.0)	(31.0, 11775.0)	(32.0, 13704.0)	(33.0, 16265.0)	(34.0, 20619.0)	(35.0, 27482.0)	(36.0, 43188.0)	(37.0, 96352.0)	(38.0, 85893.0)												
ERR10782743_1	(17.0, 1.0)	(18.0, 4.0)	(19.0, 12.0)	(20.0, 13.0)	(21.0, 20.0)	(22.0, 22.0)	(23.0, 64.0)	(24.0, 119.0)	(25.0, 221.0)	(26.0, 565.0)	(27.0, 1585.0)	(28.0, 1845.0)	(29.0, 1628.0)	(30.0, 1643.0)	(31.0, 2067.0)	(32.0, 2954.0)	(33.0, 4215.0)	(34.0, 6388.0)	(35.0, 9698.0)	(36.0, 16709.0)	(37.0, 44581.0)	(38.0, 194050.0)															
ERR10782743_2	(13.0, 1.0)	(14.0, 0.0)	(15.0, 11.0)	(16.0, 90.0)	(17.0, 761.0)	(18.0, 1448.0)	(19.0, 956.0)	(20.0, 533.0)	(21.0, 474.0)	(22.0, 429.0)	(23.0, 500.0)	(24.0, 574.0)	(25.0, 776.0)	(26.0, 1054.0)	(27.0, 1326.0)	(28.0, 1720.0)	(29.0, 2242.0)	(30.0, 2935.0)	(31.0, 3749.0)	(32.0, 4903.0)	(33.0, 6616.0)	(34.0, 8827.0)	(35.0, 13211.0)	(36.0, 23691.0)	(37.0, 75578.0)	(38.0, 135999.0)											
ERR10783123_1	(17.0, 1.0)	(18.0, 3.0)	(19.0, 6.0)	(20.0, 10.0)	(21.0, 22.0)	(22.0, 39.0)	(23.0, 90.0)	(24.0, 158.0)	(25.0, 327.0)	(26.0, 722.0)	(27.0, 1574.0)	(28.0, 1558.0)	(29.0, 1666.0)	(30.0, 2107.0)	(31.0, 3097.0)	(32.0, 4444.0)	(33.0, 6078.0)	(34.0, 7876.0)	(35.0, 10440.0)	(36.0, 16298.0)	(37.0, 41280.0)	(38.0, 155334.0)															
ERR10783123_2	(2.0, 3.0)	(3.0, 4.0)	(4.0, 2.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 2.0)	(8.0, 0.0)	(9.0, 2.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 2.0)	(13.0, 4.0)	(14.0, 22.0)	(15.0, 305.0)	(16.0, 926.0)	(17.0, 542.0)	(18.0, 304.0)	(19.0, 244.0)	(20.0, 287.0)	(21.0, 397.0)	(22.0, 575.0)	(23.0, 885.0)	(24.0, 1196.0)	(25.0, 1646.0)	(26.0, 2115.0)	(27.0, 2888.0)	(28.0, 3790.0)	(29.0, 4751.0)	(30.0, 5567.0)	(31.0, 6168.0)	(32.0, 7093.0)	(33.0, 8692.0)	(34.0, 10914.0)	(35.0, 14296.0)	(36.0, 22859.0)	(37.0, 59751.0)	(38.0, 96896.0)
ERR10783128_1	(2.0, 8.0)	(3.0, 3.0)	(4.0, 2.0)	(5.0, 0.0)	(6.0, 1.0)	(7.0, 2.0)	(8.0, 2.0)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 6.0)	(14.0, 37.0)	(15.0, 841.0)	(16.0, 3714.0)	(17.0, 3638.0)	(18.0, 1625.0)	(19.0, 945.0)	(20.0, 746.0)	(21.0, 823.0)	(22.0, 1338.0)	(23.0, 1923.0)	(24.0, 2793.0)	(25.0, 3862.0)	(26.0, 5037.0)	(27.0, 6559.0)	(28.0, 8530.0)	(29.0, 11010.0)	(30.0, 14061.0)	(31.0, 17407.0)	(32.0, 18764.0)	(33.0, 19443.0)	(34.0, 20235.0)	(35.0, 23524.0)	(36.0, 32380.0)	(37.0, 63740.0)	(38.0, 111162.0)
ERR10783128_2	(16.0, 2.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 7.0)	(20.0, 16.0)	(21.0, 47.0)	(22.0, 113.0)	(23.0, 302.0)	(24.0, 624.0)	(25.0, 1257.0)	(26.0, 2911.0)	(27.0, 6837.0)	(28.0, 5473.0)	(29.0, 5105.0)	(30.0, 6590.0)	(31.0, 10736.0)	(32.0, 16776.0)	(33.0, 20470.0)	(34.0, 21000.0)	(35.0, 21320.0)	(36.0, 24797.0)	(37.0, 45906.0)	(38.0, 183873.0)														
