Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
ERR4436595_1	(2.0, 275.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 11.0)	(16.0, 184.0)	(17.0, 732.0)	(18.0, 1299.0)	(19.0, 1268.0)	(20.0, 1203.0)	(21.0, 1132.0)	(22.0, 1099.0)	(23.0, 1259.0)	(24.0, 1732.0)	(25.0, 2239.0)	(26.0, 3168.0)	(27.0, 4313.0)	(28.0, 5746.0)	(29.0, 7482.0)	(30.0, 9908.0)	(31.0, 12610.0)	(32.0, 16244.0)	(33.0, 21408.0)	(34.0, 28867.0)	(35.0, 42395.0)	(36.0, 71581.0)	(37.0, 201866.0)	(38.0, 368864.0)
ERR4436595_2	(2.0, 276.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 10.0)	(16.0, 127.0)	(17.0, 666.0)	(18.0, 1988.0)	(19.0, 4501.0)	(20.0, 7045.0)	(21.0, 9086.0)	(22.0, 10592.0)	(23.0, 12253.0)	(24.0, 14064.0)	(25.0, 15517.0)	(26.0, 17263.0)	(27.0, 19537.0)	(28.0, 21747.0)	(29.0, 24659.0)	(30.0, 28366.0)	(31.0, 33237.0)	(32.0, 39390.0)	(33.0, 48023.0)	(34.0, 61020.0)	(35.0, 81125.0)	(36.0, 115242.0)	(37.0, 169730.0)	(38.0, 71420.0)
ERR4436596_1	(2.0, 199.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 19.0)	(16.0, 196.0)	(17.0, 732.0)	(18.0, 1094.0)	(19.0, 1081.0)	(20.0, 964.0)	(21.0, 792.0)	(22.0, 792.0)	(23.0, 954.0)	(24.0, 1198.0)	(25.0, 1627.0)	(26.0, 2327.0)	(27.0, 3309.0)	(28.0, 4245.0)	(29.0, 5615.0)	(30.0, 7196.0)	(31.0, 9536.0)	(32.0, 12358.0)	(33.0, 15878.0)	(34.0, 21727.0)	(35.0, 31612.0)	(36.0, 52133.0)	(37.0, 136170.0)	(38.0, 203456.0)
ERR4436596_2	(2.0, 199.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 6.0)	(16.0, 53.0)	(17.0, 294.0)	(18.0, 819.0)	(19.0, 1443.0)	(20.0, 2065.0)	(21.0, 2683.0)	(22.0, 3280.0)	(23.0, 3947.0)	(24.0, 4665.0)	(25.0, 5756.0)	(26.0, 6697.0)	(27.0, 7886.0)	(28.0, 9154.0)	(29.0, 10842.0)	(30.0, 12951.0)	(31.0, 15554.0)	(32.0, 19129.0)	(33.0, 24192.0)	(34.0, 31901.0)	(35.0, 45375.0)	(36.0, 71509.0)	(37.0, 139951.0)	(38.0, 94859.0)
ERR4436597_1	(2.0, 274.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 9.0)	(16.0, 137.0)	(17.0, 611.0)	(18.0, 978.0)	(19.0, 1023.0)	(20.0, 934.0)	(21.0, 949.0)	(22.0, 892.0)	(23.0, 1090.0)	(24.0, 1355.0)	(25.0, 1849.0)	(26.0, 2527.0)	(27.0, 3599.0)	(28.0, 4667.0)	(29.0, 6028.0)	(30.0, 7918.0)	(31.0, 10293.0)	(32.0, 13245.0)	(33.0, 17588.0)	(34.0, 23414.0)	(35.0, 34456.0)	(36.0, 57578.0)	(37.0, 156122.0)	(38.0, 244353.0)
ERR4436597_2	(2.0, 276.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 9.0)	(16.0, 69.0)	(17.0, 259.0)	(18.0, 718.0)	(19.0, 1394.0)	(20.0, 2122.0)	(21.0, 2871.0)	(22.0, 3572.0)	(23.0, 4338.0)	(24.0, 5285.0)	(25.0, 6067.0)	(26.0, 7252.0)	(27.0, 8471.0)	(28.0, 10017.0)	(29.0, 11819.0)	(30.0, 14077.0)	(31.0, 16761.0)	(32.0, 20572.0)	(33.0, 26552.0)	(34.0, 35552.0)	(35.0, 50082.0)	(36.0, 80368.0)	(37.0, 164933.0)	(38.0, 118453.0)
ERR4436754_1	(2.0, 976.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 15.0)	(16.0, 299.0)	(17.0, 1095.0)	(18.0, 1516.0)	(19.0, 1442.0)	(20.0, 1164.0)	(21.0, 1167.0)	(22.0, 1423.0)	(23.0, 1989.0)	(24.0, 2957.0)	(25.0, 4328.0)	(26.0, 6197.0)	(27.0, 8747.0)	(28.0, 11720.0)	(29.0, 15600.0)	(30.0, 20184.0)	(31.0, 25728.0)	(32.0, 33088.0)	(33.0, 43124.0)	(34.0, 57327.0)	(35.0, 81335.0)	(36.0, 130974.0)	(37.0, 295920.0)	(38.0, 257931.0)
ERR4436754_2	(2.0, 980.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 10.0)	(15.0, 73.0)	(16.0, 251.0)	(17.0, 611.0)	(18.0, 1197.0)	(19.0, 2022.0)	(20.0, 2817.0)	(21.0, 3607.0)	(22.0, 4433.0)	(23.0, 5464.0)	(24.0, 6769.0)	(25.0, 8082.0)	(26.0, 9688.0)	(27.0, 11740.0)	(28.0, 14407.0)	(29.0, 17354.0)	(30.0, 21496.0)	(31.0, 27191.0)	(32.0, 34254.0)	(33.0, 45907.0)	(34.0, 63065.0)	(35.0, 93715.0)	(36.0, 157684.0)	(37.0, 310375.0)	(38.0, 163054.0)
ERR4783167_1	(15.0, 3.0)	(16.0, 5.0)	(17.0, 24.0)	(18.0, 44.0)	(19.0, 118.0)	(20.0, 188.0)	(21.0, 374.0)	(22.0, 619.0)	(23.0, 1057.0)	(24.0, 1659.0)	(25.0, 2454.0)	(26.0, 3589.0)	(27.0, 5058.0)	(28.0, 6476.0)	(29.0, 8537.0)	(30.0, 10616.0)	(31.0, 13175.0)	(32.0, 16133.0)	(33.0, 19598.0)	(34.0, 24681.0)	(35.0, 31017.0)	(36.0, 41108.0)	(37.0, 57399.0)	(38.0, 89062.0)	(39.0, 164057.0)	(40.0, 389014.0)											
ERR4783167_2	(12.0, 1.0)	(13.0, 12.0)	(14.0, 34.0)	(15.0, 113.0)	(16.0, 343.0)	(17.0, 769.0)	(18.0, 1293.0)	(19.0, 1809.0)	(20.0, 2448.0)	(21.0, 3106.0)	(22.0, 3736.0)	(23.0, 4542.0)	(24.0, 5346.0)	(25.0, 6491.0)	(26.0, 7637.0)	(27.0, 8591.0)	(28.0, 10158.0)	(29.0, 11799.0)	(30.0, 13543.0)	(31.0, 15640.0)	(32.0, 18797.0)	(33.0, 22866.0)	(34.0, 27648.0)	(35.0, 34972.0)	(36.0, 45188.0)	(37.0, 61690.0)	(38.0, 90572.0)	(39.0, 156600.0)	(40.0, 330321.0)								
ERR4783172_1	(15.0, 8.0)	(16.0, 6.0)	(17.0, 19.0)	(18.0, 52.0)	(19.0, 105.0)	(20.0, 216.0)	(21.0, 405.0)	(22.0, 730.0)	(23.0, 1216.0)	(24.0, 1792.0)	(25.0, 2820.0)	(26.0, 4090.0)	(27.0, 5369.0)	(28.0, 7228.0)	(29.0, 9212.0)	(30.0, 11483.0)	(31.0, 14091.0)	(32.0, 17248.0)	(33.0, 21113.0)	(34.0, 26078.0)	(35.0, 32743.0)	(36.0, 43089.0)	(37.0, 60605.0)	(38.0, 93057.0)	(39.0, 176127.0)	(40.0, 459889.0)											
ERR4783172_2	(12.0, 4.0)	(13.0, 13.0)	(14.0, 63.0)	(15.0, 147.0)	(16.0, 399.0)	(17.0, 822.0)	(18.0, 1418.0)	(19.0, 1920.0)	(20.0, 2497.0)	(21.0, 3086.0)	(22.0, 3784.0)	(23.0, 4562.0)	(24.0, 5449.0)	(25.0, 6526.0)	(26.0, 7766.0)	(27.0, 9030.0)	(28.0, 10218.0)	(29.0, 11717.0)	(30.0, 13876.0)	(31.0, 16070.0)	(32.0, 19127.0)	(33.0, 23091.0)	(34.0, 28505.0)	(35.0, 35910.0)	(36.0, 47313.0)	(37.0, 64776.0)	(38.0, 97255.0)	(39.0, 174224.0)	(40.0, 399223.0)								
ERR4783180_1	(13.0, 1.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 10.0)	(17.0, 19.0)	(18.0, 67.0)	(19.0, 113.0)	(20.0, 217.0)	(21.0, 466.0)	(22.0, 748.0)	(23.0, 1256.0)	(24.0, 2080.0)	(25.0, 3103.0)	(26.0, 4392.0)	(27.0, 6070.0)	(28.0, 7786.0)	(29.0, 10168.0)	(30.0, 12784.0)	(31.0, 15434.0)	(32.0, 19046.0)	(33.0, 23263.0)	(34.0, 28918.0)	(35.0, 36087.0)	(36.0, 47441.0)	(37.0, 67199.0)	(38.0, 103013.0)	(39.0, 194032.0)	(40.0, 491544.0)									
ERR4783180_2	(13.0, 10.0)	(14.0, 32.0)	(15.0, 137.0)	(16.0, 408.0)	(17.0, 958.0)	(18.0, 1648.0)	(19.0, 2264.0)	(20.0, 2927.0)	(21.0, 3599.0)	(22.0, 4367.0)	(23.0, 5221.0)	(24.0, 6207.0)	(25.0, 7417.0)	(26.0, 8733.0)	(27.0, 9978.0)	(28.0, 11483.0)	(29.0, 13373.0)	(30.0, 15857.0)	(31.0, 18322.0)	(32.0, 22094.0)	(33.0, 26434.0)	(34.0, 32415.0)	(35.0, 41132.0)	(36.0, 53851.0)	(37.0, 73444.0)	(38.0, 108509.0)	(39.0, 190093.0)	(40.0, 414346.0)									
ERR4783186_1	(15.0, 4.0)	(16.0, 7.0)	(17.0, 19.0)	(18.0, 46.0)	(19.0, 109.0)	(20.0, 192.0)	(21.0, 396.0)	(22.0, 661.0)	(23.0, 1205.0)	(24.0, 1742.0)	(25.0, 2776.0)	(26.0, 4009.0)	(27.0, 5354.0)	(28.0, 7141.0)	(29.0, 9164.0)	(30.0, 11521.0)	(31.0, 14315.0)	(32.0, 17540.0)	(33.0, 21653.0)	(34.0, 26386.0)	(35.0, 33093.0)	(36.0, 43766.0)	(37.0, 61249.0)	(38.0, 92561.0)	(39.0, 170430.0)	(40.0, 369053.0)											
ERR4783186_2	(12.0, 4.0)	(13.0, 5.0)	(14.0, 31.0)	(15.0, 136.0)	(16.0, 405.0)	(17.0, 1062.0)	(18.0, 1802.0)	(19.0, 2545.0)	(20.0, 3118.0)	(21.0, 3950.0)	(22.0, 4731.0)	(23.0, 5530.0)	(24.0, 6643.0)	(25.0, 7714.0)	(26.0, 8983.0)	(27.0, 10297.0)	(28.0, 11681.0)	(29.0, 13349.0)	(30.0, 15519.0)	(31.0, 18259.0)	(32.0, 21279.0)	(33.0, 25437.0)	(34.0, 30763.0)	(35.0, 38444.0)	(36.0, 48883.0)	(37.0, 65067.0)	(38.0, 93195.0)	(39.0, 154128.0)	(40.0, 301432.0)								
ERR4783188_1	(14.0, 1.0)	(15.0, 1.0)	(16.0, 7.0)	(17.0, 24.0)	(18.0, 50.0)	(19.0, 111.0)	(20.0, 267.0)	(21.0, 392.0)	(22.0, 802.0)	(23.0, 1203.0)	(24.0, 1932.0)	(25.0, 2956.0)	(26.0, 4333.0)	(27.0, 6116.0)	(28.0, 7798.0)	(29.0, 9966.0)	(30.0, 12799.0)	(31.0, 15576.0)	(32.0, 19262.0)	(33.0, 23395.0)	(34.0, 28740.0)	(35.0, 36145.0)	(36.0, 47967.0)	(37.0, 67323.0)	(38.0, 104733.0)	(39.0, 199949.0)	(40.0, 546600.0)										
ERR4783188_2	(12.0, 3.0)	(13.0, 12.0)	(14.0, 31.0)	(15.0, 106.0)	(16.0, 277.0)	(17.0, 665.0)	(18.0, 1269.0)	(19.0, 1788.0)	(20.0, 2451.0)	(21.0, 3108.0)	(22.0, 3945.0)	(23.0, 4780.0)	(24.0, 5776.0)	(25.0, 6869.0)	(26.0, 8010.0)	(27.0, 9603.0)	(28.0, 10874.0)	(29.0, 13002.0)	(30.0, 14750.0)	(31.0, 17518.0)	(32.0, 20853.0)	(33.0, 25498.0)	(34.0, 31583.0)	(35.0, 39920.0)	(36.0, 53114.0)	(37.0, 73132.0)	(38.0, 109612.0)	(39.0, 198607.0)	(40.0, 481292.0)								
ERR4783194_1	(16.0, 11.0)	(17.0, 32.0)	(18.0, 59.0)	(19.0, 143.0)	(20.0, 239.0)	(21.0, 458.0)	(22.0, 822.0)	(23.0, 1289.0)	(24.0, 2000.0)	(25.0, 2994.0)	(26.0, 4521.0)	(27.0, 5922.0)	(28.0, 7638.0)	(29.0, 9689.0)	(30.0, 12242.0)	(31.0, 15066.0)	(32.0, 18241.0)	(33.0, 22268.0)	(34.0, 26754.0)	(35.0, 34151.0)	(36.0, 44620.0)	(37.0, 62438.0)	(38.0, 97262.0)	(39.0, 184040.0)	(40.0, 494536.0)												
ERR4783194_2	(13.0, 8.0)	(14.0, 29.0)	(15.0, 98.0)	(16.0, 355.0)	(17.0, 832.0)	(18.0, 1521.0)	(19.0, 2026.0)	(20.0, 2537.0)	(21.0, 3191.0)	(22.0, 3716.0)	(23.0, 4563.0)	(24.0, 5468.0)	(25.0, 6592.0)	(26.0, 8134.0)	(27.0, 9310.0)	(28.0, 10495.0)	(29.0, 12137.0)	(30.0, 14078.0)	(31.0, 16300.0)	(32.0, 19523.0)	(33.0, 23938.0)	(34.0, 29282.0)	(35.0, 37439.0)	(36.0, 49026.0)	(37.0, 67298.0)	(38.0, 101666.0)	(39.0, 182998.0)	(40.0, 434875.0)									
ERR4783195_1	(13.0, 1.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 5.0)	(17.0, 18.0)	(18.0, 39.0)	(19.0, 102.0)	(20.0, 180.0)	(21.0, 338.0)	(22.0, 596.0)	(23.0, 1024.0)	(24.0, 1545.0)	(25.0, 2339.0)	(26.0, 3614.0)	(27.0, 4646.0)	(28.0, 6371.0)	(29.0, 8229.0)	(30.0, 10199.0)	(31.0, 12832.0)	(32.0, 15601.0)	(33.0, 19124.0)	(34.0, 23574.0)	(35.0, 30005.0)	(36.0, 39183.0)	(37.0, 55411.0)	(38.0, 84580.0)	(39.0, 158020.0)	(40.0, 383867.0)									
ERR4783195_2	(12.0, 1.0)	(13.0, 10.0)	(14.0, 37.0)	(15.0, 130.0)	(16.0, 391.0)	(17.0, 953.0)	(18.0, 1583.0)	(19.0, 1994.0)	(20.0, 2659.0)	(21.0, 3179.0)	(22.0, 3655.0)	(23.0, 4616.0)	(24.0, 5271.0)	(25.0, 6303.0)	(26.0, 7332.0)	(27.0, 8333.0)	(28.0, 9712.0)	(29.0, 11459.0)	(30.0, 12783.0)	(31.0, 15099.0)	(32.0, 17974.0)	(33.0, 21438.0)	(34.0, 26026.0)	(35.0, 32715.0)	(36.0, 42637.0)	(37.0, 58026.0)	(38.0, 86290.0)	(39.0, 150403.0)	(40.0, 330435.0)								
ERR4783200_1	(15.0, 5.0)	(16.0, 5.0)	(17.0, 16.0)	(18.0, 48.0)	(19.0, 108.0)	(20.0, 225.0)	(21.0, 380.0)	(22.0, 675.0)	(23.0, 1090.0)	(24.0, 1780.0)	(25.0, 2567.0)	(26.0, 3570.0)	(27.0, 4886.0)	(28.0, 6530.0)	(29.0, 8438.0)	(30.0, 10442.0)	(31.0, 12962.0)	(32.0, 15801.0)	(33.0, 19171.0)	(34.0, 23728.0)	(35.0, 29989.0)	(36.0, 39598.0)	(37.0, 55214.0)	(38.0, 85551.0)	(39.0, 158123.0)	(40.0, 360834.0)											
ERR4783200_2	(13.0, 12.0)	(14.0, 46.0)	(15.0, 141.0)	(16.0, 373.0)	(17.0, 800.0)	(18.0, 1346.0)	(19.0, 1865.0)	(20.0, 2304.0)	(21.0, 2892.0)	(22.0, 3535.0)	(23.0, 4258.0)	(24.0, 5054.0)	(25.0, 5999.0)	(26.0, 7025.0)	(27.0, 8074.0)	(28.0, 9524.0)	(29.0, 10902.0)	(30.0, 12700.0)	(31.0, 14933.0)	(32.0, 17691.0)	(33.0, 21459.0)	(34.0, 26035.0)	(35.0, 33062.0)	(36.0, 43271.0)	(37.0, 59373.0)	(38.0, 86556.0)	(39.0, 150700.0)	(40.0, 311806.0)									
ERR4783203_1	(15.0, 1.0)	(16.0, 6.0)	(17.0, 16.0)	(18.0, 43.0)	(19.0, 96.0)	(20.0, 223.0)	(21.0, 397.0)	(22.0, 698.0)	(23.0, 1091.0)	(24.0, 1855.0)	(25.0, 2700.0)	(26.0, 4025.0)	(27.0, 5363.0)	(28.0, 7192.0)	(29.0, 9148.0)	(30.0, 11805.0)	(31.0, 14528.0)	(32.0, 17776.0)	(33.0, 21923.0)	(34.0, 27133.0)	(35.0, 34386.0)	(36.0, 44799.0)	(37.0, 63566.0)	(38.0, 97758.0)	(39.0, 183265.0)	(40.0, 446325.0)											
ERR4783203_2	(12.0, 4.0)	(13.0, 21.0)	(14.0, 67.0)	(15.0, 191.0)	(16.0, 474.0)	(17.0, 964.0)	(18.0, 1614.0)	(19.0, 2235.0)	(20.0, 2869.0)	(21.0, 3479.0)	(22.0, 4201.0)	(23.0, 4942.0)	(24.0, 5987.0)	(25.0, 7035.0)	(26.0, 8386.0)	(27.0, 9567.0)	(28.0, 11005.0)	(29.0, 12618.0)	(30.0, 14835.0)	(31.0, 17502.0)	(32.0, 20442.0)	(33.0, 24703.0)	(34.0, 30575.0)	(35.0, 38151.0)	(36.0, 49403.0)	(37.0, 67709.0)	(38.0, 99796.0)	(39.0, 175209.0)	(40.0, 382134.0)								
ERR4783208_1	(15.0, 1.0)	(16.0, 2.0)	(17.0, 25.0)	(18.0, 43.0)	(19.0, 86.0)	(20.0, 194.0)	(21.0, 355.0)	(22.0, 655.0)	(23.0, 1035.0)	(24.0, 1612.0)	(25.0, 2467.0)	(26.0, 3698.0)	(27.0, 4991.0)	(28.0, 6384.0)	(29.0, 8349.0)	(30.0, 10320.0)	(31.0, 13060.0)	(32.0, 15866.0)	(33.0, 19402.0)	(34.0, 23729.0)	(35.0, 30110.0)	(36.0, 39977.0)	(37.0, 55313.0)	(38.0, 85015.0)	(39.0, 158754.0)	(40.0, 373382.0)											
ERR4783208_2	(12.0, 2.0)	(13.0, 5.0)	(14.0, 36.0)	(15.0, 118.0)	(16.0, 373.0)	(17.0, 877.0)	(18.0, 1505.0)	(19.0, 2078.0)	(20.0, 2574.0)	(21.0, 3212.0)	(22.0, 3814.0)	(23.0, 4564.0)	(24.0, 5467.0)	(25.0, 6386.0)	(26.0, 7463.0)	(27.0, 8727.0)	(28.0, 9955.0)	(29.0, 11405.0)	(30.0, 13524.0)	(31.0, 15560.0)	(32.0, 18445.0)	(33.0, 22329.0)	(34.0, 27045.0)	(35.0, 34095.0)	(36.0, 43856.0)	(37.0, 59696.0)	(38.0, 87313.0)	(39.0, 149424.0)	(40.0, 314977.0)								
ERR4783214_1	(15.0, 1.0)	(16.0, 6.0)	(17.0, 26.0)	(18.0, 54.0)	(19.0, 104.0)	(20.0, 214.0)	(21.0, 408.0)	(22.0, 710.0)	(23.0, 1164.0)	(24.0, 1860.0)	(25.0, 2732.0)	(26.0, 4051.0)	(27.0, 5394.0)	(28.0, 7176.0)	(29.0, 9205.0)	(30.0, 11457.0)	(31.0, 14057.0)	(32.0, 17233.0)	(33.0, 21162.0)	(34.0, 26251.0)	(35.0, 32958.0)	(36.0, 42815.0)	(37.0, 60914.0)	(38.0, 92191.0)	(39.0, 172935.0)	(40.0, 421308.0)											
ERR4783214_2	(12.0, 1.0)	(13.0, 13.0)	(14.0, 57.0)	(15.0, 136.0)	(16.0, 444.0)	(17.0, 1033.0)	(18.0, 1611.0)	(19.0, 2177.0)	(20.0, 2689.0)	(21.0, 3259.0)	(22.0, 3895.0)	(23.0, 4732.0)	(24.0, 5417.0)	(25.0, 6646.0)	(26.0, 7517.0)	(27.0, 8930.0)	(28.0, 9968.0)	(29.0, 11744.0)	(30.0, 13692.0)	(31.0, 16223.0)	(32.0, 19149.0)	(33.0, 22935.0)	(34.0, 28351.0)	(35.0, 35758.0)	(36.0, 46867.0)	(37.0, 63639.0)	(38.0, 94617.0)	(39.0, 166926.0)	(40.0, 367960.0)								
ERR4783216_1	(13.0, 1.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 7.0)	(17.0, 29.0)	(18.0, 40.0)	(19.0, 98.0)	(20.0, 201.0)	(21.0, 363.0)	(22.0, 686.0)	(23.0, 1085.0)	(24.0, 1788.0)	(25.0, 2618.0)	(26.0, 3945.0)	(27.0, 5384.0)	(28.0, 7121.0)	(29.0, 9081.0)	(30.0, 11625.0)	(31.0, 14308.0)	(32.0, 17646.0)	(33.0, 21410.0)	(34.0, 26980.0)	(35.0, 33926.0)	(36.0, 44659.0)	(37.0, 62598.0)	(38.0, 96442.0)	(39.0, 181319.0)	(40.0, 459266.0)									
ERR4783216_2	(12.0, 1.0)	(13.0, 17.0)	(14.0, 58.0)	(15.0, 178.0)	(16.0, 459.0)	(17.0, 1021.0)	(18.0, 1659.0)	(19.0, 2323.0)	(20.0, 2799.0)	(21.0, 3583.0)	(22.0, 4151.0)	(23.0, 4888.0)	(24.0, 5886.0)	(25.0, 6976.0)	(26.0, 8275.0)	(27.0, 9460.0)	(28.0, 10913.0)	(29.0, 12463.0)	(30.0, 14419.0)	(31.0, 16880.0)	(32.0, 19946.0)	(33.0, 24000.0)	(34.0, 29728.0)	(35.0, 37077.0)	(36.0, 48740.0)	(37.0, 66232.0)	(38.0, 98115.0)	(39.0, 174590.0)	(40.0, 397791.0)								
ERR4783222_1	(13.0, 1.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 5.0)	(17.0, 20.0)	(18.0, 53.0)	(19.0, 120.0)	(20.0, 252.0)	(21.0, 436.0)	(22.0, 729.0)	(23.0, 1228.0)	(24.0, 1931.0)	(25.0, 2890.0)	(26.0, 4236.0)	(27.0, 5770.0)	(28.0, 7505.0)	(29.0, 9593.0)	(30.0, 11819.0)	(31.0, 14768.0)	(32.0, 18141.0)	(33.0, 22309.0)	(34.0, 27277.0)	(35.0, 34528.0)	(36.0, 45202.0)	(37.0, 63555.0)	(38.0, 98012.0)	(39.0, 185598.0)	(40.0, 486702.0)									
ERR4783222_2	(12.0, 4.0)	(13.0, 14.0)	(14.0, 48.0)	(15.0, 134.0)	(16.0, 360.0)	(17.0, 840.0)	(18.0, 1414.0)	(19.0, 2039.0)	(20.0, 2604.0)	(21.0, 3379.0)	(22.0, 4151.0)	(23.0, 5071.0)	(24.0, 5985.0)	(25.0, 6902.0)	(26.0, 8243.0)	(27.0, 9676.0)	(28.0, 11002.0)	(29.0, 12761.0)	(30.0, 14572.0)	(31.0, 17544.0)	(32.0, 20692.0)	(33.0, 24876.0)	(34.0, 30679.0)	(35.0, 39071.0)	(36.0, 49951.0)	(37.0, 69740.0)	(38.0, 102585.0)	(39.0, 181740.0)	(40.0, 416603.0)								
ERR4783223_1	(15.0, 1.0)	(16.0, 3.0)	(17.0, 21.0)	(18.0, 51.0)	(19.0, 84.0)	(20.0, 180.0)	(21.0, 340.0)	(22.0, 589.0)	(23.0, 994.0)	(24.0, 1619.0)	(25.0, 2611.0)	(26.0, 3805.0)	(27.0, 4919.0)	(28.0, 6497.0)	(29.0, 8545.0)	(30.0, 11130.0)	(31.0, 13609.0)	(32.0, 16894.0)	(33.0, 20709.0)	(34.0, 25823.0)	(35.0, 32961.0)	(36.0, 43502.0)	(37.0, 60855.0)	(38.0, 92913.0)	(39.0, 171978.0)	(40.0, 385137.0)											
ERR4783223_2	(12.0, 1.0)	(13.0, 5.0)	(14.0, 32.0)	(15.0, 102.0)	(16.0, 352.0)	(17.0, 887.0)	(18.0, 1470.0)	(19.0, 2032.0)	(20.0, 2465.0)	(21.0, 3128.0)	(22.0, 3767.0)	(23.0, 4746.0)	(24.0, 5536.0)	(25.0, 6535.0)	(26.0, 7677.0)	(27.0, 9058.0)	(28.0, 10085.0)	(29.0, 11716.0)	(30.0, 13685.0)	(31.0, 16145.0)	(32.0, 19290.0)	(33.0, 22978.0)	(34.0, 28504.0)	(35.0, 36020.0)	(36.0, 46922.0)	(37.0, 63769.0)	(38.0, 93682.0)	(39.0, 160694.0)	(40.0, 334487.0)								
ERR4783228_1	(15.0, 1.0)	(16.0, 6.0)	(17.0, 13.0)	(18.0, 49.0)	(19.0, 83.0)	(20.0, 178.0)	(21.0, 361.0)	(22.0, 640.0)	(23.0, 1098.0)	(24.0, 1673.0)	(25.0, 2517.0)	(26.0, 3695.0)	(27.0, 4773.0)	(28.0, 6420.0)	(29.0, 8420.0)	(30.0, 10464.0)	(31.0, 12934.0)	(32.0, 15896.0)	(33.0, 19413.0)	(34.0, 24116.0)	(35.0, 30638.0)	(36.0, 40082.0)	(37.0, 55981.0)	(38.0, 84684.0)	(39.0, 155367.0)	(40.0, 344245.0)											
ERR4783228_2	(12.0, 1.0)	(13.0, 2.0)	(14.0, 22.0)	(15.0, 84.0)	(16.0, 286.0)	(17.0, 713.0)	(18.0, 1214.0)	(19.0, 1687.0)	(20.0, 2118.0)	(21.0, 2774.0)	(22.0, 3469.0)	(23.0, 3965.0)	(24.0, 4787.0)	(25.0, 5626.0)	(26.0, 6800.0)	(27.0, 7748.0)	(28.0, 8956.0)	(29.0, 10226.0)	(30.0, 12342.0)	(31.0, 14520.0)	(32.0, 17145.0)	(33.0, 21119.0)	(34.0, 26048.0)	(35.0, 32444.0)	(36.0, 42161.0)	(37.0, 57596.0)	(38.0, 85337.0)	(39.0, 148261.0)	(40.0, 306296.0)								
ERR4783231_1	(15.0, 6.0)	(16.0, 7.0)	(17.0, 25.0)	(18.0, 54.0)	(19.0, 133.0)	(20.0, 247.0)	(21.0, 426.0)	(22.0, 744.0)	(23.0, 1254.0)	(24.0, 1987.0)	(25.0, 3044.0)	(26.0, 4559.0)	(27.0, 5948.0)	(28.0, 7874.0)	(29.0, 10443.0)	(30.0, 12840.0)	(31.0, 15872.0)	(32.0, 19328.0)	(33.0, 23701.0)	(34.0, 29587.0)	(35.0, 37292.0)	(36.0, 49493.0)	(37.0, 68834.0)	(38.0, 106361.0)	(39.0, 198766.0)	(40.0, 460195.0)											
