Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR10852936_1	(1.0, 92.44746104033243)	(2.0, 6.627944272938115)	(3.0, 0.6210814027640972)	(4.0, 0.11381580546232613)	(5.0, 0.04418968068071291)	(6.0, 0.017030469956098117)	(7.0, 0.0117337166653387)	(8.0, 0.003618545515505935)	(9.0, 0.0)	('>10', 0.04592002537592807)	('>50', 0.018114566121156743)	('>100', 0.04909047418833477)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10852936_2	(1.0, 89.2268861023502)	(2.0, 8.07896936673115)	(3.0, 0.8728471919136918)	(4.0, 0.15130160242095622)	(5.0, 0.06067486545857538)	(6.0, 0.030690156161530598)	(7.0, 0.021623173380014953)	(8.0, 0.016174855870903778)	(9.0, 0.00967932368690794)	('>10', 0.07555595275010223)	('>50', 0.009792233723795256)	('>100', 0.11623744105468072)	('>500', 0.0)	('>1k', 0.31262612851524113)	('>5k', 1.0169416059822924)	('>10k+', 0.0)
ERR10852938_1	(1.0, 94.56551528103788)	(2.0, 4.620006453499817)	(3.0, 0.32591092835354385)	(4.0, 0.09361525581880661)	(5.0, 0.044580780852727604)	(6.0, 0.014807295095217778)	(7.0, 0.014312492414169826)	(8.0, 0.005331639025464159)	(9.0, 0.008864117695706598)	('>10', 0.12079019756434167)	('>50', 0.0)	('>100', 0.18626555864230313)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10852938_2	(1.0, 91.6851205665225)	(2.0, 4.9227743331703255)	(3.0, 0.40552667923647323)	(4.0, 0.11965499062315336)	(5.0, 0.05526043070588222)	(6.0, 0.048371917708853795)	(7.0, 0.019012470706474736)	(8.0, 0.021281705138431087)	(9.0, 0.014760845349355518)	('>10', 0.15991250070790922)	('>50', 0.07503521321021184)	('>100', 0.07758960344715522)	('>500', 0.0)	('>1k', 0.6095413702906145)	('>5k', 1.7861573731826599)	('>10k+', 0.0)
ERR10852993_1	(1.0, 89.99102545986817)	(2.0, 8.49439277518709)	(3.0, 0.9414078003344767)	(4.0, 0.19869975263267609)	(5.0, 0.09250709149629725)	(6.0, 0.03643398751732772)	(7.0, 0.044264833308955344)	(8.0, 0.019420103440666702)	(9.0, 0.00947957634372768)	('>10', 0.05776051563070794)	('>50', 0.018406756135503292)	('>100', 0.09620134810442287)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10852993_2	(1.0, 87.24161870601579)	(2.0, 8.862082738163396)	(3.0, 1.0262571574286452)	(4.0, 0.2629843221014992)	(5.0, 0.12721432135310706)	(6.0, 0.08101605845945907)	(7.0, 0.053553655412294)	(8.0, 0.03850316542853071)	(9.0, 0.030111235294818742)	('>10', 0.25527457906537876)	('>50', 0.018977679817329726)	('>100', 0.14851340260717663)	('>500', 0.0)	('>1k', 0.44658485074725457)	('>5k', 1.407308128105286)	('>10k+', 0.0)
ERR10852995_1	(1.0, 79.15213150277415)	(2.0, 13.268207081607535)	(3.0, 2.3852127422234233)	(4.0, 0.5965835840420369)	(5.0, 0.2035426485528531)	(6.0, 0.1104731461546431)	(7.0, 0.04592087601866869)	(8.0, 0.0564778393773583)	(9.0, 0.03256802690407783)	('>10', 0.23496436420322492)	('>50', 0.08212569319360448)	('>100', 0.04991080979690056)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 3.7818816851515455)
ERR10852995_2	(1.0, 83.80345904094904)	(2.0, 12.843896991408796)	(3.0, 2.3258607154515443)	(4.0, 0.5463196497901099)	(5.0, 0.1922427272316108)	(6.0, 0.09858531624935105)	(7.0, 0.054887557569356114)	(8.0, 0.032340845085330194)	(9.0, 0.033520454137824306)	('>10', 0.06445311376692837)	('>50', 0.004433588360093628)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10852996_1	(1.0, 93.27375369828515)	(2.0, 5.844236944497659)	(3.0, 0.6305261854868137)	(4.0, 0.1419341412586944)	(5.0, 0.05732996137529613)	(6.0, 0.018695072841775174)	(7.0, 0.013503837888805503)	(8.0, 0.012762016047098186)	(9.0, 0.00196312220715472)	('>10', 0.0052950201115702)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10852996_2	(1.0, 75.33713117639338)	(2.0, 6.983557964768031)	(3.0, 0.8368319535992559)	(4.0, 0.22258176628419)	(5.0, 0.09698643607059057)	(6.0, 0.06139286531354647)	(7.0, 0.02980453724509516)	(8.0, 0.04288541223800098)	(9.0, 0.03548246179598193)	('>10', 0.4611681407399341)	('>50', 0.27110701343024063)	('>100', 0.7189660838591082)	('>500', 0.12910747503810907)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 14.77299671322456)
ERR10853648_1	(1.0, 90.1587693468674)	(2.0, 4.042594292288975)	(3.0, 0.2311057267986064)	(4.0, 0.049422888504670054)	(5.0, 0.030578815436797465)	(6.0, 0.025562246069283118)	(7.0, 0.020591476895141545)	(8.0, 0.0166824741573179)	(9.0, 0.0074755996785944865)	('>10', 0.3354518654954797)	('>50', 0.1107156403359465)	('>100', 0.1615291618334145)	('>500', 0.4027901094311487)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 4.406730356207244)
ERR10853648_2	(1.0, 96.18746557210861)	(2.0, 3.3867077326627117)	(3.0, 0.14024952179570066)	(4.0, 0.026062902940048847)	(5.0, 0.0022056910422015618)	(6.0, 0.007705461032541047)	(7.0, 0.0029455753976089026)	(8.0, 0.006666393491944665)	(9.0, 0.0036984937427357997)	('>10', 0.07191515610875167)	('>50', 0.047258531157179665)	('>100', 0.117118968519967)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10854234_1	(1.0, 83.65836105610876)	(2.0, 5.978115221162813)	(3.0, 0.559275497784319)	(4.0, 0.13808973087284512)	(5.0, 0.04723507892030631)	(6.0, 0.03138218420582131)	(7.0, 0.02695843841891685)	(8.0, 0.025414662353503502)	(9.0, 0.02043729933887109)	('>10', 0.3811765516195223)	('>50', 0.15108751170821108)	('>100', 0.4109143175572323)	('>500', 0.3114643098505617)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 8.260088140098274)
ERR10854234_2	(1.0, 93.83361681387909)	(2.0, 5.543782052423936)	(3.0, 0.4745516751113166)	(4.0, 0.10964573666245381)	(5.0, 0.03056497343086023)	(6.0, 0.0057160198050795665)	(7.0, 0.0021227286872764883)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10854472_1	(1.0, 94.28605654615463)	(2.0, 5.023627558026819)	(3.0, 0.46082371332449923)	(4.0, 0.12596388106634648)	(5.0, 0.042420552670457384)	(6.0, 0.030411380717918206)	(7.0, 0.012746253814496797)	(8.0, 0.0035900228449659306)	(9.0, 0.008077551401173345)	('>10', 0.006282539978690379)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10854472_2	(1.0, 92.36998812461849)	(2.0, 5.043312481862266)	(3.0, 0.4804030963804858)	(4.0, 0.13301154760608558)	(5.0, 0.03990403297770371)	(6.0, 0.01654614995584325)	(7.0, 0.006363147125715837)	(8.0, 0.007229162151778791)	(9.0, 0.012160691587950651)	('>10', 0.08750852048364295)	('>50', 0.026028175323339956)	('>100', 0.0)	('>500', 0.0)	('>1k', 1.7775448699267165)	('>5k', 0.0)	('>10k+', 0.0)
ERR10854473_1	(1.0, 94.00089073236667)	(2.0, 5.153560756534422)	(3.0, 0.528227424578375)	(4.0, 0.13742827918399733)	(5.0, 0.0629724638406941)	(6.0, 0.05105417893988004)	(7.0, 0.019440953426661085)	(8.0, 0.009402565113461102)	(9.0, 0.006998290731924847)	('>10', 0.03002435528392021)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10854473_2	(1.0, 90.7511989501957)	(2.0, 5.23564556837242)	(3.0, 0.46296992899945344)	(4.0, 0.13741878420571763)	(5.0, 0.03536705766081309)	(6.0, 0.019333881192082056)	(7.0, 0.01936744079637432)	(8.0, 0.003127123522515853)	(9.0, 0.02096994896644739)	('>10', 0.15042623453927992)	('>50', 0.025384168637686565)	('>100', 0.05653746651121098)	('>500', 0.0)	('>1k', 0.0)	('>5k', 3.082253446400305)	('>10k+', 0.0)
ERR10854474_1	(1.0, 90.10843809061313)	(2.0, 7.698718422112481)	(3.0, 0.9120330403734235)	(4.0, 0.22506561106814632)	(5.0, 0.0830047333081852)	(6.0, 0.048358580876279436)	(7.0, 0.020695278695737368)	(8.0, 0.018302085485636565)	(9.0, 0.010054269535952317)	('>10', 0.03086812691612578)	('>50', 0.021794255648083554)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.8226675053668167)	('>5k', 0.0)	('>10k+', 0.0)
ERR10854474_2	(1.0, 91.1812905026433)	(2.0, 7.519906750124241)	(3.0, 0.9205463480810595)	(4.0, 0.20999626773798652)	(5.0, 0.09670196893445723)	(6.0, 0.020530477178197438)	(7.0, 0.020752282226867078)	(8.0, 0.016048784324309864)	(9.0, 0.002517718867507716)	('>10', 0.011708899882093032)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10854475_1	(1.0, 93.48364584244183)	(2.0, 5.02951062983327)	(3.0, 0.34846161156336924)	(4.0, 0.03509441919856471)	(5.0, 0.006180638381874335)	(6.0, 0.009532363798886164)	(7.0, 0.0027198303979394916)	(8.0, 0.0030672901184568505)	(9.0, 0.01026847051201925)	('>10', 0.040172572775632895)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 1.031346330978164)	('>5k', 0.0)	('>10k+', 0.0)
ERR10854475_2	(1.0, 94.4810107003747)	(2.0, 5.0866231870847765)	(3.0, 0.3372759207213395)	(4.0, 0.05463877405775018)	(5.0, 0.0186010179269595)	(6.0, 0.004776821453972565)	(7.0, 0.0)	(8.0, 0.006140816712440056)	(9.0, 0.0034250555792912276)	('>10', 0.007507706088765485)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10854476_1	(1.0, 85.94208980568855)	(2.0, 5.90664282763518)	(3.0, 0.6689050278680833)	(4.0, 0.22060743620318812)	(5.0, 0.08714543105129963)	(6.0, 0.05575310885909074)	(7.0, 0.03124536698869471)	(8.0, 0.018532815649004362)	(9.0, 0.017904666912308232)	('>10', 0.43107370522903865)	('>50', 0.01987200485126175)	('>100', 0.2243086574991737)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 6.375919145565105)
ERR10854476_2	(1.0, 93.24372460515025)	(2.0, 5.699035372573039)	(3.0, 0.6608173017685101)	(4.0, 0.21451743807712362)	(5.0, 0.10516065347116585)	(6.0, 0.0418745099904455)	(7.0, 0.021207355069185026)	(8.0, 0.004694040804910557)	(9.0, 0.0025810882681437984)	('>10', 0.006387634827232173)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10854480_1	(1.0, 93.66067713365328)	(2.0, 5.900736332943228)	(3.0, 0.3812726539392383)	(4.0, 0.04476004037802222)	(5.0, 0.0031038431643556365)	(6.0, 0.005139653992806671)	(7.0, 0.001882096968892471)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0024282449601803133)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10854480_2	(1.0, 85.92650728887617)	(2.0, 6.454166401160672)	(3.0, 0.47665623494362785)	(4.0, 0.08959176393734108)	(5.0, 0.02691033880540911)	(6.0, 0.026584588822176812)	(7.0, 0.01652449357923231)	(8.0, 0.020178396852737177)	(9.0, 0.024267558093746477)	('>10', 0.28169285189946086)	('>50', 0.06179476582139311)	('>100', 0.2356771178224664)	('>500', 0.30378667723144714)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 6.055661522154111)
ERR10854483_1	(1.0, 83.33694981297985)	(2.0, 8.31911139199242)	(3.0, 0.7204481158732614)	(4.0, 0.10332262695576891)	(5.0, 0.02743120967254692)	(6.0, 0.01699083144771579)	(7.0, 0.012241558474700683)	(8.0, 0.003297812814048214)	(9.0, 0.010630803286488298)	('>10', 0.33936112688602166)	('>50', 0.17427076750156448)	('>100', 0.07580533852967959)	('>500', 0.25268446176559867)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 6.607454141820308)
ERR10854483_2	(1.0, 91.56381673835202)	(2.0, 7.742919826027792)	(3.0, 0.6008409047879247)	(4.0, 0.07880460573747185)	(5.0, 0.00686565579585597)	(6.0, 0.0029593162677908316)	(7.0, 0.0015904737777585924)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0022024792533698045)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10854484_1	(1.0, 94.5874697897787)	(2.0, 4.876433775621367)	(3.0, 0.4146180486707101)	(4.0, 0.0753316766876163)	(5.0, 0.01941472559479384)	(6.0, 0.011122880369407215)	(7.0, 0.0)	(8.0, 0.005655422879116925)	(9.0, 0.0)	('>10', 0.009953680398289942)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10854484_2	(1.0, 90.33725006178986)	(2.0, 5.28308462662398)	(3.0, 0.42578583026177824)	(4.0, 0.11347661783405434)	(5.0, 0.04790893738715005)	(6.0, 0.024243214931537114)	(7.0, 0.02754947957451804)	(8.0, 0.008446414818209569)	(9.0, 0.012538290894797416)	('>10', 0.1912525154486945)	('>50', 0.0)	('>100', 0.03624900030104257)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 3.492215010134403)
ERR3569448_1	(1.0, 67.63599214834557)	(2.0, 18.67654936296546)	(3.0, 6.21944180542796)	(4.0, 2.3352085226115413)	(5.0, 1.0910741828779849)	(6.0, 0.5968244775276235)	(7.0, 0.38982435194834253)	(8.0, 0.285515942910606)	(9.0, 0.22983220762334364)	('>10', 1.6741224549829736)	('>50', 0.12269749540138704)	('>100', 0.03214022888390315)	('>500', 0.0)	('>1k', 0.7107768184933446)	('>5k', 0.0)	('>10k+', 0.0)
ERR3569448_2	(1.0, 69.73372008158336)	(2.0, 18.276408954009774)	(3.0, 5.827051677344762)	(4.0, 2.1917870314343517)	(5.0, 0.962972254346516)	(6.0, 0.5887643618173398)	(7.0, 0.37118088093495627)	(8.0, 0.261833006978391)	(9.0, 0.21627855429653073)	('>10', 1.4836174455144708)	('>50', 0.05453645943151293)	('>100', 0.031849292308003554)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR3569449_1	(1.0, 61.50040890955292)	(2.0, 19.44073969734419)	(3.0, 7.232863641321366)	(4.0, 3.013390999469682)	(5.0, 1.448932362166354)	(6.0, 0.7944914823820943)	(7.0, 0.5929362707138311)	(8.0, 0.3832660748087056)	(9.0, 0.3125840211092728)	('>10', 3.1145475678661008)	('>50', 0.7182174433982633)	('>100', 0.21307059223715816)	('>500', 0.0)	('>1k', 0.0)	('>5k', 1.234550937630064)	('>10k+', 0.0)
ERR3569449_2	(1.0, 62.113396112775945)	(2.0, 19.561074044202346)	(3.0, 7.518051164374004)	(4.0, 3.154529578490475)	(5.0, 1.6204055137157443)	(6.0, 0.8942917398766219)	(7.0, 0.5295154721681244)	(8.0, 0.43213711146488565)	(9.0, 0.3195605087052944)	('>10', 3.1184400778123114)	('>50', 0.570959692817589)	('>100', 0.16763898359664314)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR3569450_1	(1.0, 60.37886169142565)	(2.0, 18.783734105347968)	(3.0, 7.065917592654407)	(4.0, 2.9066412725299093)	(5.0, 1.4582726711160947)	(6.0, 0.8158764012380533)	(7.0, 0.48597932812045036)	(8.0, 0.38767521015908946)	(9.0, 0.3216258578350275)	('>10', 4.250293937204682)	('>50', 1.2783233370853369)	('>100', 0.871021825387153)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.9957767698961892)	('>10k+', 0.0)
ERR3569450_2	(1.0, 62.67042126717819)	(2.0, 18.124862999986554)	(3.0, 6.828350931646514)	(4.0, 2.896914799933981)	(5.0, 1.4242173813351313)	(6.0, 0.8074125060403425)	(7.0, 0.5587810436657326)	(8.0, 0.329946505113291)	(9.0, 0.27895578612325633)	('>10', 4.034254405263473)	('>50', 1.2108097992330873)	('>100', 0.8350725744804558)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR3569451_1	(1.0, 53.527150896779006)	(2.0, 19.141413898175074)	(3.0, 8.308569116159376)	(4.0, 3.9643052755010886)	(5.0, 2.1006534166556228)	(6.0, 1.1752687322764819)	(7.0, 0.7782443647578977)	(8.0, 0.5057243288942904)	(9.0, 0.4655158434799424)	('>10', 5.35950661850786)	('>50', 1.7539099891762253)	('>100', 1.742041137470383)	('>500', 0.0)	('>1k', 0.0)	('>5k', 1.177696382166791)	('>10k+', 0.0)
ERR3569451_2	(1.0, 53.70817495223784)	(2.0, 19.829992616391554)	(3.0, 8.556316687115373)	(4.0, 4.150947144104921)	(5.0, 2.1067597184790325)	(6.0, 1.2247587478363953)	(7.0, 0.8331283382452558)	(8.0, 0.5300908015444877)	(9.0, 0.41100529235640604)	('>10', 5.35429290181492)	('>50', 1.5903710026787945)	('>100', 1.7041617971949825)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4436595_1	(1.0, 59.97430959106889)	(2.0, 21.03607076838226)	(3.0, 8.929258899960232)	(4.0, 3.9037377022276853)	(5.0, 2.0160573359646285)	(6.0, 1.1291245122261773)	(7.0, 0.6588156565635298)	(8.0, 0.43861136429024)	(9.0, 0.2933936009582035)	('>10', 1.1184083705390682)	('>50', 0.037631872846195034)	('>100', 0.046792262946913556)	('>500', 0.0)	('>1k', 0.41778806202601393)	('>5k', 0.0)	('>10k+', 0.0)
ERR4436595_2	(1.0, 67.27812078568905)	(2.0, 18.312068478134744)	(3.0, 7.026399611828031)	(4.0, 3.201529971114419)	(5.0, 1.580207423318386)	(6.0, 0.801081425208011)	(7.0, 0.4717478434039154)	(8.0, 0.3676739739116021)	(9.0, 0.20067839281056266)	('>10', 0.7198112310125586)	('>50', 0.006449405199929541)	('>100', 0.03423145836885679)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4436596_1	(1.0, 68.03475343703683)	(2.0, 18.732746973631606)	(3.0, 6.163838352795571)	(4.0, 2.6123391952808417)	(5.0, 1.221069217357971)	(6.0, 0.6507514085793215)	(7.0, 0.43985240849120794)	(8.0, 0.27782023182621457)	(9.0, 0.20133036010944644)	('>10', 1.0539384111023837)	('>50', 0.031237677858491908)	('>100', 0.038610545924471364)	('>500', 0.0)	('>1k', 0.5417117800056486)	('>5k', 0.0)	('>10k+', 0.0)
ERR4436596_2	(1.0, 70.74124179274483)	(2.0, 17.74632840639634)	(3.0, 5.850006355432474)	(4.0, 2.2377725457775965)	(5.0, 1.1068370832710193)	(6.0, 0.6023596674487552)	(7.0, 0.3831077726255194)	(8.0, 0.2313326859566638)	(9.0, 0.19438632720215696)	('>10', 0.8679395253349921)	('>50', 0.0)	('>100', 0.038687837809681616)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4436597_1	(1.0, 66.88552359152156)	(2.0, 19.268018080330556)	(3.0, 6.98068714793724)	(4.0, 2.8188127381087678)	(5.0, 1.2381869810698998)	(6.0, 0.6122373861343687)	(7.0, 0.36969412035747307)	(8.0, 0.24015060711522146)	(9.0, 0.1354833221531469)	('>10', 0.8688123608934718)	('>50', 0.062345013680186495)	('>100', 0.04629412939937968)	('>500', 0.0)	('>1k', 0.4737545212987614)	('>5k', 0.0)	('>10k+', 0.0)
ERR4436597_2	(1.0, 69.45162239709506)	(2.0, 18.54388912790798)	(3.0, 6.380527939559094)	(4.0, 2.470017369354187)	(5.0, 1.1729399809287835)	(6.0, 0.5870913251391903)	(7.0, 0.316421071109726)	(8.0, 0.2073080886090482)	(9.0, 0.1619960966038233)	('>10', 0.6526580465885288)	('>50', 0.008803307833644239)	('>100', 0.04672524927088095)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4436754_1	(1.0, 56.28977886302911)	(2.0, 21.977862605885527)	(3.0, 9.808029598837782)	(4.0, 4.668197702353947)	(5.0, 2.5035268715106196)	(6.0, 1.3702821662241313)	(7.0, 0.8141995258719755)	(8.0, 0.5183663304455539)	(9.0, 0.3630684613734456)	('>10', 1.2811295012911181)	('>50', 0.04609972688731767)	('>100', 0.0)	('>500', 0.09696839103884063)	('>1k', 0.2624902552506321)	('>5k', 0.0)	('>10k+', 0.0)
ERR4436754_2	(1.0, 58.726122589667774)	(2.0, 21.085723772552225)	(3.0, 9.375764021460553)	(4.0, 4.4387350296255805)	(5.0, 2.334894499941891)	(6.0, 1.2056881498221201)	(7.0, 0.7663746232127869)	(8.0, 0.500431368181004)	(9.0, 0.34049916847905426)	('>10', 1.1043847924050085)	('>50', 0.023878423210232997)	('>100', 0.0)	('>500', 0.09750356144178474)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4783167_1	(1.0, 87.16173904425827)	(2.0, 10.742129190771157)	(3.0, 1.6867157379208682)	(4.0, 0.31446889242890674)	(5.0, 0.06889353014208678)	(6.0, 0.021665090016053996)	(7.0, 0.002869989965511231)	(8.0, 0.0015185244971458861)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4783167_2	(1.0, 88.0278171872482)	(2.0, 10.028254616236318)	(3.0, 1.5735093349202471)	(4.0, 0.2698533659217807)	(5.0, 0.0726330699391686)	(6.0, 0.017574182427669848)	(7.0, 0.005728333311430658)	(8.0, 0.0030297469498863526)	(9.0, 0.00160016304531473)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4783172_1	(1.0, 83.71975355389334)	(2.0, 13.034110609509897)	(3.0, 2.332655896031581)	(4.0, 0.5608050286546359)	(5.0, 0.1587100353678928)	(6.0, 0.07133765279520736)	(7.0, 0.05439522739427388)	(8.0, 0.03088437926894171)	(9.0, 0.020134685062839504)	('>10', 0.017212932021378972)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4783172_2	(1.0, 84.87178721604359)	(2.0, 11.97536185825537)	(3.0, 2.2465238341445333)	(4.0, 0.5235625344548059)	(5.0, 0.17339875899325652)	(6.0, 0.06853836679064948)	(7.0, 0.04450796912275716)	(8.0, 0.02492054697457081)	(9.0, 0.012344938843178464)	('>10', 0.021920766264317642)	('>50', 0.0)	('>100', 0.03713321011297808)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4783180_1	(1.0, 82.40742651009293)	(2.0, 13.666417110174244)	(3.0, 2.8927567158117076)	(4.0, 0.653039913837473)	(5.0, 0.21890793209265025)	(6.0, 0.08032309236178174)	(7.0, 0.04226088979703573)	(8.0, 0.021494211804039688)	(9.0, 0.009027440704328165)	('>10', 0.00834618332382342)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4783180_2	(1.0, 83.91120920138218)	(2.0, 12.457408181857483)	(3.0, 2.663267715216979)	(4.0, 0.5999442284429711)	(5.0, 0.21607793818632479)	(6.0, 0.09435077561000457)	(7.0, 0.02990227593716135)	(8.0, 0.015706202809684877)	(9.0, 0.010488562135727898)	('>10', 0.001644918421473707)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4783186_1	(1.0, 84.56589496722209)	(2.0, 12.445557717149578)	(3.0, 2.2052645996556777)	(4.0, 0.5019449345463356)	(5.0, 0.16353792484783386)	(6.0, 0.06922006067881706)	(7.0, 0.02159423642055873)	(8.0, 0.012197222201161952)	(9.0, 0.01289834410791822)	('>10', 0.001889993170022575)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4783186_2	(1.0, 86.04643423400209)	(2.0, 11.306334011380743)	(3.0, 1.942404646295733)	(4.0, 0.44119394453501026)	(5.0, 0.1401988051214937)	(6.0, 0.04329280495971382)	(7.0, 0.02724483765929469)	(8.0, 0.015175879018331279)	(9.0, 0.0032075544032571473)	('>10', 0.001783463250705431)	('>50', 0.0)	('>100', 0.03272981937360176)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4783188_1	(1.0, 81.07284204878634)	(2.0, 14.482848586866615)	(3.0, 3.0985183399021365)	(4.0, 0.7867764892283812)	(5.0, 0.28369161141046983)	(6.0, 0.1305563304421713)	(7.0, 0.08065257483553447)	(8.0, 0.02679509474478774)	(9.0, 0.01478106826218846)	('>10', 0.02253785552136259)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4783188_2	(1.0, 82.35688534964575)	(2.0, 13.499088994064321)	(3.0, 2.8861089742426222)	(4.0, 0.7211546068001264)	(5.0, 0.27225839584029765)	(6.0, 0.1098224990275025)	(7.0, 0.065678239766781)	(8.0, 0.02248817387937559)	(9.0, 0.014723903364788054)	('>10', 0.017589486581761158)	('>50', 0.0)	('>100', 0.0342013767866639)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4783194_1	(1.0, 82.34805582577641)	(2.0, 14.121628465169799)	(3.0, 2.774977179391994)	(4.0, 0.6014841384261612)	(5.0, 0.11518070532987414)	(6.0, 0.026133754771025492)	(7.0, 0.011016050677797555)	(8.0, 0.0)	(9.0, 0.0015238804569323238)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4783194_2	(1.0, 83.4907713560923)	(2.0, 13.168371196655878)	(3.0, 2.622253791448232)	(4.0, 0.5233967574829473)	(5.0, 0.11619620519083508)	(6.0, 0.024765951069868317)	(7.0, 0.00686450641498139)	(8.0, 0.0028887654563077877)	(9.0, 0.0)	('>10', 0.0015933253070486578)	('>50', 0.0)	('>100', 0.04289814488161039)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR4783195_1	(1.0, 83.65771096489763)	(2.0, 13.01520551694324)	(3.0, 2.4371266847895123)	(4.0, 0.5822231913320226)	(5.0, 0.18985325344949572)	(6.0, 0.06740743491796575)	(7.0, 0.026330458049883147)	(8.0, 0.015528627227210056)	(9.0, 0.003291502777167799)	('>10', 0.005322365615866291)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
