Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR10710709_2	(1.0, 66.68478531405206)	(2.0, 20.42666255803977)	(3.0, 7.189315059656658)	(4.0, 2.8720739892219056)	(5.0, 1.2031233718172698)	(6.0, 0.5540351706486952)	(7.0, 0.3018439227934613)	(8.0, 0.19173540138190795)	(9.0, 0.106431984810733)	('>10', 0.4024143756069434)	('>50', 0.019962760146278114)	('>100', 0.04761609182431912)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10782663_1	(1.0, 93.50509722334644)	(2.0, 5.391071937084932)	(3.0, 0.6658401648168493)	(4.0, 0.18845374061868356)	(5.0, 0.1126637829742812)	(6.0, 0.0567893046504096)	(7.0, 0.030959878103007127)	(8.0, 0.017395056550410057)	(9.0, 0.012907236402214075)	('>10', 0.018821675452788688)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10782663_2	(1.0, 90.73290544899655)	(2.0, 5.715112331195025)	(3.0, 0.7843908144293883)	(4.0, 0.27735970158098283)	(5.0, 0.13543926855081628)	(6.0, 0.06331143205845761)	(7.0, 0.054025994455140176)	(8.0, 0.026052896898387926)	(9.0, 0.02902529439909702)	('>10', 0.10555399862271397)	('>50', 0.05074876733567457)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 2.0260740514777305)	('>10k+', 0.0)
ERR10782668_1	(1.0, 94.83043822969934)	(2.0, 4.858155678355962)	(3.0, 0.27538799750147774)	(4.0, 0.019902444154529207)	(5.0, 0.001738298021508107)	(6.0, 0.001957640676331812)	(7.0, 0.0043753468700435715)	(8.0, 0.0)	(9.0, 0.0026744877777693087)	('>10', 0.0053698769430172025)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10782668_2	(1.0, 92.30598174498834)	(2.0, 5.3125529978022605)	(3.0, 0.30431574004772144)	(4.0, 0.03327947491841263)	(5.0, 0.01377164191671281)	(6.0, 0.01165407258751671)	(7.0, 0.010869934738969316)	(8.0, 0.004829949006281038)	(9.0, 0.007991840060251403)	('>10', 0.05198027554922708)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 1.942772328384312)	('>10k+', 0.0)
ERR10782671_1	(1.0, 95.22370392519414)	(2.0, 4.335336857531681)	(3.0, 0.34642156544965264)	(4.0, 0.057297495762694634)	(5.0, 0.02266251492472919)	(6.0, 0.004309603939617121)	(7.0, 0.0024336604581349994)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.007834376739333827)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10782671_2	(1.0, 90.2449477876736)	(2.0, 4.624615771023552)	(3.0, 0.4303038644613615)	(4.0, 0.1056249236387165)	(5.0, 0.04455533050677984)	(6.0, 0.01276539769101249)	(7.0, 0.019289638346315707)	(8.0, 0.01623041716243888)	(9.0, 0.01804249116126217)	('>10', 0.27665529128252897)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 4.20696908705243)
ERR10782676_1	(1.0, 91.70415662796772)	(2.0, 4.281146797631188)	(3.0, 0.3709324393838297)	(4.0, 0.07007107705164871)	(5.0, 0.037860583907354896)	(6.0, 0.026062809209371384)	(7.0, 0.017245113172895413)	(8.0, 0.011062649679075354)	(9.0, 0.0276836704731814)	('>10', 0.14089046177298337)	('>50', 0.019412759208480762)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 3.2934750105422532)	('>10k+', 0.0)
ERR10782676_2	(1.0, 95.39936044801516)	(2.0, 4.153221992788212)	(3.0, 0.32399245450581954)	(4.0, 0.07124603119488507)	(5.0, 0.015332257502262208)	(6.0, 0.010957145002944303)	(7.0, 0.004958409817012638)	(8.0, 0.005555190749565989)	(9.0, 0.0)	('>10', 0.01537607042416183)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10782680_1	(1.0, 84.97862526996548)	(2.0, 8.180075793630529)	(3.0, 0.8662217469913222)	(4.0, 0.22792428181596008)	(5.0, 0.066724204079365)	(6.0, 0.06840374322492729)	(7.0, 0.04139783769997116)	(8.0, 0.030552845078960743)	(9.0, 0.01943645448123881)	('>10', 0.22385154370800098)	('>50', 0.0753824511977849)	('>100', 0.31032130654373485)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 4.911082521582736)
